campaign_id,audience
bd568ea1-f4ed-42d8-9808-7c0d6e461584,AL_red_18-23
80abd063-08ff-4520-afd8-66bc5f14165d,AL_red_21-26
b40e5fcc-1ea4-4f7f-a6e0-80b887e5c4ee,AL_red_24-29
b23ab0d6-bf20-4a5d-b4dc-ac1c452b32ad,AL_red_27-32
de491544-560b-4ceb-a7a1-432afc95746b,AL_red_30-35
fbfa0e00-05c0-4a1a-a5c0-4ae7ff49d2d1,AL_red_33-38
9846ac22-8858-42db-a611-6eda1901a622,AL_red_36-41
0982231a-8849-4f1b-ad00-324e7048857e,AL_red_39-44
b799c789-c802-47a5-9828-0dd364787ffa,AL_red_42-47
c57fbda4-803a-41cf-abaa-145e8c1117d4,AL_red_45-50
1e295775-be21-4596-8f17-eed063922eb0,AL_red_48-53
8c963cfa-9400-46d3-a705-75b5f53ad1ee,AL_red_51-56
75b11a8a-9596-4d07-87a8-7920fdabfdac,AL_red_54-59
ffe1efa2-d99a-41d9-ad6a-428109b8f302,AL_red_57-62
f36b4e7c-26a8-4069-a5ee-7a42edbce474,AL_red_60-65
d3f9d405-a31b-4be8-a63c-abf11c48ba1e,AL_red_63-68
a33d0eeb-735f-40a2-9cec-6f583dc4d21f,AL_blue_18-23
4c364adc-dab6-4de6-85a8-b81dd5e2d23d,AL_blue_21-26
bc706172-ef4d-4abb-bffc-06bab996aa16,AL_blue_24-29
a17cc3ef-50ee-41f8-a2f1-6107c114ae0d,AL_blue_27-32
67b1edfa-be83-4629-9f64-d2473f16ea44,AL_blue_30-35
3c7c517a-eab9-47fe-a7b1-cfe625f1c4c1,AL_blue_33-38
c15881b7-0004-41d0-949f-eff5d48186a3,AL_blue_36-41
c56514c5-ba4e-4214-87c8-9917bd0435dd,AL_blue_39-44
532614f3-8fef-41bc-b2a8-08a34103998c,AL_blue_42-47
437e36c6-e086-4a37-a29e-66f2f8908ded,AL_blue_45-50
dda1daa4-611a-43da-aa74-298e80b95117,AL_blue_48-53
ce87fefa-6bbe-4bb2-a822-615bec725fc5,AL_blue_51-56
9ca0b6dd-e8c6-44a9-8c6f-5ca5b0a64791,AL_blue_54-59
afdb9edb-00cb-4597-94d4-14b4f9ea09ac,AL_blue_57-62
651c82a7-2540-4585-80e2-2b9a69404ff4,AL_blue_60-65
c9e3d196-c798-45d8-9ff1-4ee8d61b2cd7,AL_blue_63-68
96b31202-5d94-42e5-9440-63497fa54388,AL_green_18-23
2a0a53d2-9904-4207-8b20-18b6fe5abafd,AL_green_21-26
5fb266c2-c636-4045-9505-f3daa2d544f4,AL_green_24-29
7fd6a2bf-d7c0-4112-8e3c-37977f588ee9,AL_green_27-32
8ad00355-e0cd-4508-876a-7d69cf64eeb4,AL_green_30-35
