campaign_id,ad_type,date,spend,actions
e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,photo,2017-02-18,0,"[{""source2"": 53, ""action"": ""views""}]"
65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-02-20,939,"[{""source2"": 45, ""action"": ""views""}, {""action"": ""views"", ""source1"": 92}]"
edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-02-10,911,"[{""action"": ""views"", ""source1"": 89}, {""action"": ""views"", ""source1"": 47}, {""source2"": 81, ""action"": ""views""}]"
4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-02-24,427,"[{""action"": ""conversions"", ""source1"": 83}, {""action"": ""conversions"", ""source1"": 5}]"
c3905d5d-df51-41d1-a4f9-07ce187698c2,photo,2017-04-14,523,[]
672c7b8a-623d-429c-9eb8-1069e36af790,video,2017-03-09,328,"[{""source2"": 39, ""action"": ""views""}, {""action"": ""views"", ""source1"": 31}, {""action"": ""views"", ""source1"": 14}]"
06dd6c6e-9a86-4035-846e-0462e6ab00c5,video,2017-05-10,7,"[{""source2"": 27, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 2}]"
eb357d66-57a2-4e5c-9c51-9f9c128cf6d7,video,2017-03-15,319,"[{""action"": ""views"", ""source1"": 46}, {""source2"": 48, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 28}, {""source2"": 72, ""action"": ""views""}, {""action"": ""views"", ""source1"": 32}]"
ad62978f-487c-47b2-9333-efa4772dfa5c,video,2017-02-19,161,"[{""source2"": 80, ""action"": ""conversions""}, {""source2"": 66, ""action"": ""conversions""}]"
2276e92a-651b-41c8-8ad1-d3a11e6f80c9,video,2017-05-14,276,"[{""action"": ""views"", ""source1"": 24}, {""source2"": 71, ""action"": ""views""}, {""source2"": 74, ""action"": ""views""}, {""source2"": 88, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 24}]"
35371f72-8d8f-4457-b716-d1b609ac9620,photo,2017-05-05,0,"[{""action"": ""conversions"", ""source1"": 92}, {""source2"": 17, ""action"": ""views""}]"
dad810c7-5bc4-4dd2-a063-9f13becde864,video,2017-04-12,556,"[{""action"": ""views"", ""source1"": 11}, {""action"": ""conversions"", ""source1"": 59}, {""action"": ""conversions"", ""source1"": 25}, {""action"": ""views"", ""source1"": 49}]"
c3b12695-647e-4cf6-9f20-c3c34ac9e8e5,photo,2017-04-18,100,"[{""action"": ""views"", ""source1"": 80}, {""source2"": 11, ""action"": ""conversions""}, {""source2"": 25, ""action"": ""conversions""}, {""source2"": 94, ""action"": ""views""}]"
d1d7df00-692d-4804-bef4-0e8f1ad800c9,video,2017-05-16,970,"[{""source2"": 96, ""action"": ""conversions""}, {""source2"": 81, ""action"": ""conversions""}, {""source2"": 45, ""action"": ""conversions""}, {""source2"": 49, ""action"": ""views""}]"
27b3c954-991c-4f41-874d-78d97d7b967e,video,2017-05-05,999,"[{""action"": ""conversions"", ""source1"": 32}]"
860ca5b7-e924-4be4-aed5-6a7bcfd9cb05,video,2017-04-10,516,"[{""source2"": 78, ""action"": ""conversions""}, {""source2"": 54, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 58}, {""action"": ""views"", ""source1"": 17}, {""source2"": 15, ""action"": ""views""}]"
f2ec3c10-4b04-4c10-82e2-e21974b350b6,photo,2017-04-21,134,"[{""source2"": 44, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 76}, {""source2"": 41, ""action"": ""views""}, {""source2"": 11, ""action"": ""views""}]"
4e03a26b-9460-45d0-968b-e2212ba37377,video,2017-04-27,236,"[{""action"": ""views"", ""source1"": 63}]"
d65386eb-8c50-4cfd-99d7-d7a508e76731,video,2017-02-26,160,"[{""source2"": 41, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 33}, {""action"": ""conversions"", ""source1"": 96}, {""source2"": 5, ""action"": ""views""}]"
f2054dcc-b56a-4b90-a89d-2f3e21193479,video,2017-03-27,909,"[{""source2"": 59, ""action"": ""conversions""}, {""source2"": 71, ""action"": ""conversions""}, {""source2"": 76, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 77}]"
24f8d910-870b-4b8e-8ab5-e196e9a935da,photo,2017-03-06,0,"[{""action"": ""conversions"", ""source1"": 93}, {""action"": ""conversions"", ""source1"": 74}]"
810fda17-a186-44ac-add0-3451d00ce068,photo,2017-04-27,83,"[{""action"": ""conversions"", ""source1"": 72}, {""action"": ""views"", ""source1"": 21}]"
4fe20164-d1a7-4065-bdaf-dd2277bc6481,video,2017-05-01,202,"[{""source2"": 49, ""action"": ""views""}]"
83f8fcd0-55c6-403c-952e-e23095a7fd4e,video,2017-04-05,883,[]
196d1a6d-d12c-4d82-b7fb-0cb87c5a9b1a,photo,2017-05-16,47,"[{""source2"": 56, ""action"": ""views""}, {""action"": ""views"", ""source1"": 32}]"
2a0a53d2-9904-4207-8b20-18b6fe5abafd,video,2017-03-11,353,"[{""source2"": 63, ""action"": ""views""}, {""source2"": 34, ""action"": ""conversions""}, {""source2"": 7, ""action"": ""conversions""}, {""source2"": 4, ""action"": ""conversions""}]"
a7e5ce1c-7e40-4537-b095-8087f8ec7c8c,video,2017-03-01,601,"[{""action"": ""views"", ""source1"": 65}, {""action"": ""views"", ""source1"": 23}, {""action"": ""conversions"", ""source1"": 21}, {""source2"": 71, ""action"": ""conversions""}]"
3c739e44-35eb-4950-83ab-9fe8678e83ad,video,2017-04-27,462,"[{""action"": ""views"", ""source1"": 29}, {""source2"": 40, ""action"": ""views""}, {""action"": ""views"", ""source1"": 15}]"
b957c14a-c7e0-4566-b096-bc080e9e725f,photo,2017-03-28,966,"[{""action"": ""views"", ""source1"": 11}, {""source2"": 47, ""action"": ""conversions""}, {""source2"": 64, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 30}, {""source2"": 50, ""action"": ""conversions""}]"
cbde4cb0-d0c6-46b4-9604-e172f521e4ec,photo,2017-04-24,122,"[{""action"": ""views"", ""source1"": 42}, {""action"": ""views"", ""source1"": 19}]"
245a77f5-a4a8-4319-a1f8-5ebdd684fde4,photo,2017-02-11,0,"[{""source2"": 52, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 41}, {""action"": ""views"", ""source1"": 44}]"
77878768-147b-42f6-8771-6649dba39487,photo,2017-05-07,586,[]
4b4ac908-a0fd-41e3-9414-7984afa35519,photo,2017-04-23,448,"[{""source2"": 86, ""action"": ""views""}, {""source2"": 69, ""action"": ""views""}, {""action"": ""views"", ""source1"": 7}]"
1345c0d3-ed67-48a6-85c5-f6fbe7490ac3,photo,2017-03-26,465,"[{""source2"": 84, ""action"": ""views""}, {""action"": ""views"", ""source1"": 38}]"
7d35f8b6-d01c-496b-b7cb-b1ceed8fae9b,photo,2017-04-24,939,[]
7a3160d4-baff-4b63-ba27-cf83f0d49187,photo,2017-05-18,502,"[{""source2"": 79, ""action"": ""views""}]"
