,campaign_id,ad_type,date,spend,actions,audience,state,hair_color
0,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,photo,2017-02-18,0,"[{""source2"": 53, ""action"": ""views""}]",VT_red_30-35,VT,red
2,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,video,2017-04-27,12,"[{""source2"": 51, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 55}, {""action"": ""conversions"", ""source1"": 16}, {""action"": ""conversions"", ""source1"": 63}, {""action"": ""conversions"", ""source1"": 24}]",VT_red_30-35,VT,red
4,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,photo,2017-02-16,696,"[{""action"": ""views"", ""source1"": 63}, {""source2"": 68, ""action"": ""conversions""}]",VT_red_30-35,VT,red
6,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,video,2017-03-01,322,"[{""action"": ""views"", ""source1"": 1}, {""source2"": 64, ""action"": ""conversions""}, {""source2"": 17, ""action"": ""conversions""}, {""source2"": 19, ""action"": ""views""}, {""action"": ""views"", ""source1"": 45}]",VT_red_30-35,VT,red
8,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,photo,2017-03-24,914,[],VT_red_30-35,VT,red
10,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,video,2017-04-02,624,"[{""action"": ""conversions"", ""source1"": 75}, {""source2"": 19, ""action"": ""views""}, {""source2"": 74, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 92}, {""action"": ""views"", ""source1"": 11}]",VT_red_30-35,VT,red
12,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,photo,2017-05-17,0,"[{""action"": ""conversions"", ""source1"": 95}, {""source2"": 12, ""action"": ""conversions""}, {""source2"": 72, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 25}, {""source2"": 13, ""action"": ""conversions""}]",VT_red_30-35,VT,red
14,e22f5ce7-707f-4f6e-b860-7d7d9c08ce95,photo,2017-05-14,498,[],VT_red_30-35,VT,red
16,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-02-20,939,"[{""source2"": 45, ""action"": ""views""}, {""action"": ""views"", ""source1"": 92}]",PA_pink_39-44,PA,pink
18,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-04-19,0,"[{""source2"": 68, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 71}]",PA_pink_39-44,PA,pink
20,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-05-01,192,"[{""source2"": 32, ""action"": ""views""}, {""source2"": 22, ""action"": ""views""}, {""source2"": 95, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 51}]",PA_pink_39-44,PA,pink
22,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-05-10,624,"[{""action"": ""conversions"", ""source1"": 68}]",PA_pink_39-44,PA,pink
24,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-04-29,523,[],PA_pink_39-44,PA,pink
26,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-02-09,740,"[{""source2"": 42, ""action"": ""conversions""}, {""source2"": 35, ""action"": ""conversions""}]",PA_pink_39-44,PA,pink
28,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-04-21,353,"[{""action"": ""views"", ""source1"": 50}]",PA_pink_39-44,PA,pink
30,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-04-25,977,"[{""source2"": 26, ""action"": ""conversions""}, {""source2"": 28, ""action"": ""views""}, {""action"": ""views"", ""source1"": 47}, {""action"": ""conversions"", ""source1"": 75}, {""action"": ""views"", ""source1"": 5}]",PA_pink_39-44,PA,pink
32,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-03-29,20,"[{""source2"": 58, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 40}, {""action"": ""conversions"", ""source1"": 92}, {""source2"": 29, ""action"": ""conversions""}]",PA_pink_39-44,PA,pink
34,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-02-22,989,"[{""source2"": 21, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 3}]",PA_pink_39-44,PA,pink
36,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-05-09,0,"[{""action"": ""views"", ""source1"": 69}, {""source2"": 16, ""action"": ""conversions""}]",PA_pink_39-44,PA,pink
38,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-02-23,367,"[{""action"": ""views"", ""source1"": 38}, {""source2"": 37, ""action"": ""conversions""}, {""source2"": 96, ""action"": ""views""}]",PA_pink_39-44,PA,pink
40,65299e68-a0ea-4e14-b930-a3dcd8ed3418,photo,2017-02-17,827,"[{""source2"": 76, ""action"": ""views""}, {""source2"": 36, ""action"": ""conversions""}, {""source2"": 66, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 45}]",PA_pink_39-44,PA,pink
42,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-04-07,829,[],PA_pink_39-44,PA,pink
44,65299e68-a0ea-4e14-b930-a3dcd8ed3418,video,2017-04-17,717,"[{""source2"": 34, ""action"": ""views""}, {""source2"": 89, ""action"": ""conversions""}, {""source2"": 2, ""action"": ""views""}, {""source2"": 1, ""action"": ""views""}, {""action"": ""views"", ""source1"": 80}]",PA_pink_39-44,PA,pink
46,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-02-10,911,"[{""action"": ""views"", ""source1"": 89}, {""action"": ""views"", ""source1"": 47}, {""source2"": 81, ""action"": ""views""}]",MT_red_27-32,MT,red
48,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-03-04,803,"[{""source2"": 15, ""action"": ""conversions""}]",MT_red_27-32,MT,red
50,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-05-10,419,"[{""source2"": 42, ""action"": ""conversions""}]",MT_red_27-32,MT,red
52,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-05-02,120,"[{""source2"": 38, ""action"": ""conversions""}]",MT_red_27-32,MT,red
54,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-04-01,460,"[{""action"": ""conversions"", ""source1"": 55}]",MT_red_27-32,MT,red
56,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,video,2017-03-04,0,"[{""action"": ""views"", ""source1"": 77}, {""source2"": 59, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 41}, {""source2"": 56, ""action"": ""conversions""}, {""source2"": 86, ""action"": ""conversions""}]",MT_red_27-32,MT,red
58,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-04-24,0,"[{""action"": ""views"", ""source1"": 32}, {""action"": ""views"", ""source1"": 37}, {""source2"": 45, ""action"": ""conversions""}, {""action"": ""conversions"", ""source1"": 17}]",MT_red_27-32,MT,red
60,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,photo,2017-03-19,718,"[{""source2"": 7, ""action"": ""views""}]",MT_red_27-32,MT,red
62,edccbcef-fead-4cf5-99ae-dd87b7b8fcde,video,2017-05-11,412,"[{""source2"": 83, ""action"": ""views""}]",MT_red_27-32,MT,red
64,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-02-24,427,"[{""action"": ""conversions"", ""source1"": 83}, {""action"": ""conversions"", ""source1"": 5}]",UT_black_21-26,UT,black
66,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-03-04,0,"[{""source2"": 78, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 24}, {""action"": ""conversions"", ""source1"": 30}, {""source2"": 7, ""action"": ""conversions""}]",UT_black_21-26,UT,black
68,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-02-12,425,"[{""source2"": 56, ""action"": ""conversions""}, {""source2"": 1, ""action"": ""views""}, {""source2"": 81, ""action"": ""views""}]",UT_black_21-26,UT,black
70,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-05-17,563,"[{""action"": ""views"", ""source1"": 13}, {""source2"": 48, ""action"": ""views""}, {""action"": ""views"", ""source1"": 66}, {""action"": ""views"", ""source1"": 63}, {""action"": ""views"", ""source1"": 9}]",UT_black_21-26,UT,black
72,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-04-27,0,"[{""source2"": 44, ""action"": ""views""}, {""source2"": 97, ""action"": ""views""}, {""source2"": 54, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 41}]",UT_black_21-26,UT,black
74,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-04-06,108,"[{""source2"": 89, ""action"": ""conversions""}, {""source2"": 11, ""action"": ""views""}]",UT_black_21-26,UT,black
76,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-04-11,935,[],UT_black_21-26,UT,black
78,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-04-21,300,"[{""action"": ""views"", ""source1"": 67}, {""source2"": 71, ""action"": ""views""}, {""action"": ""views"", ""source1"": 69}]",UT_black_21-26,UT,black
80,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-03-15,310,"[{""source2"": 42, ""action"": ""views""}, {""source2"": 12, ""action"": ""conversions""}, {""action"": ""views"", ""source1"": 29}, {""action"": ""views"", ""source1"": 20}]",UT_black_21-26,UT,black
82,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-04-28,775,[],UT_black_21-26,UT,black
84,4ce38395-6170-462d-9dff-99c722b506ae,video,2017-02-24,248,[],UT_black_21-26,UT,black
86,4ce38395-6170-462d-9dff-99c722b506ae,photo,2017-05-04,757,"[{""source2"": 42, ""action"": ""views""}, {""action"": ""conversions"", ""source1"": 3}, {""action"": ""conversions"", ""source1"": 61}, {""action"": ""conversions"", ""source1"": 70}]",UT_black_21-26,UT,black
